EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	23:34:42	0	0.1000	0.6266119081437588	0.5376811027526855	0.7317	0.7317	0.7317
2	23:51:23	0	0.1000	0.5836598127663135	0.5238117575645447	0.7446	0.7446	0.7446
3	00:08:04	0	0.1000	0.568054846316576	0.5033139586448669	0.7539	0.7539	0.7539
4	00:24:48	0	0.1000	0.5564922459721565	0.49253028631210327	0.7652	0.7652	0.7652
5	00:41:31	1	0.1000	0.5492649371296168	0.49043095111846924	0.7648	0.7648	0.7648
6	00:58:13	0	0.1000	0.5437442660212517	0.4780201315879822	0.7749	0.7749	0.7749
7	01:14:56	0	0.1000	0.5397270953536034	0.4736984372138977	0.777	0.777	0.777
8	01:31:40	1	0.1000	0.5343264965295792	0.4702403247356415	0.7739	0.7739	0.7739
9	01:48:20	0	0.1000	0.5314284939736128	0.4688743054866791	0.7775	0.7775	0.7775
10	02:05:05	0	0.1000	0.5289126058280468	0.4651927649974823	0.7819	0.7819	0.7819
11	02:21:51	1	0.1000	0.5255283281028271	0.46401992440223694	0.7798	0.7798	0.7798
12	02:38:34	0	0.1000	0.5234941969186068	0.4588448107242584	0.7847	0.7847	0.7847
13	02:55:21	1	0.1000	0.5213352509021759	0.4702860414981842	0.7752	0.7752	0.7752
14	03:12:04	2	0.1000	0.5188301391690969	0.4619913697242737	0.7813	0.7813	0.7813
15	03:28:47	0	0.1000	0.5173505823075771	0.45646387338638306	0.786	0.786	0.786
16	03:45:32	0	0.1000	0.5161822039544582	0.44731763005256653	0.7932	0.7932	0.7932
17	04:02:13	0	0.1000	0.5137537573516369	0.44415009021759033	0.7944	0.7944	0.7944
18	04:18:55	1	0.1000	0.5114896131515503	0.44567620754241943	0.7904	0.7904	0.7904
19	04:35:37	2	0.1000	0.510122787898779	0.44923487305641174	0.7876	0.7876	0.7876
20	04:52:20	3	0.1000	0.5080120367825032	0.4564714729785919	0.7841	0.7841	0.7841
21	05:09:04	0	0.1000	0.5071201262533664	0.43740561604499817	0.7969	0.7969	0.7969
22	05:25:46	1	0.1000	0.5058465283244848	0.4420560598373413	0.7935	0.7935	0.7935
23	05:42:28	0	0.1000	0.5035509783357381	0.43721798062324524	0.7987	0.7987	0.7987
24	05:59:14	1	0.1000	0.5028504619300366	0.44549161195755005	0.7938	0.7938	0.7938
25	06:15:56	0	0.1000	0.5015613921701908	0.43480128049850464	0.8001	0.8001	0.8001
26	06:32:41	1	0.1000	0.5002922531247139	0.4337315559387207	0.7976	0.7976	0.7976
27	06:49:21	0	0.1000	0.4988901760816574	0.43314361572265625	0.8007	0.8007	0.8007
28	07:06:05	0	0.1000	0.498150307944417	0.43381553888320923	0.8013	0.8013	0.8013
29	07:22:50	1	0.1000	0.49737695242762564	0.43222689628601074	0.7995	0.7995	0.7995
30	07:39:33	2	0.1000	0.4960933158189058	0.4338056147098541	0.7993	0.7993	0.7993
31	07:56:13	3	0.1000	0.4946102640479803	0.4507254362106323	0.7884	0.7884	0.7884
32	08:12:55	4	0.1000	0.4944616883635521	0.44352105259895325	0.7937	0.7937	0.7937
33	08:29:40	0	0.1000	0.49272469676434993	0.4326549172401428	0.8026	0.8026	0.8026
34	08:46:26	1	0.1000	0.49266228331923484	0.4646569788455963	0.7843	0.7843	0.7843
