,actual,predicted,tweet
0,0,1,@mickymantell He is exactly that sort of person. Weirdo!
1,0,1,Corny jokes are my absolute favorite
2,0,1,"@SR_Duncan @benpobjie Darn, my sock joke needs fixing?"
3,0,1,Most important thing I've learned in school http://t.co/TvfJMGBlBh
4,0,1,"Always classy, never trashy and just a little sassy."
5,0,1,@Praise1300 Re: Jamie Grace has Tourette's? Thanks for sharing. I'm about to research her & post my tribute to this Young lady Gospel singer
6,0,1,"@LaurenBailes I think the general rule is, if it's open all night, pull an all-nighter."
7,0,1,Nooooooooooo again it's on!!! #PickANewSong #CantStandIt
8,0,1,@BunnyDhillon17 exactly and we are fighting like animals
9,0,1,Dan said he's going to have a sign for me at the airport when I fly in lol #SoCute #3MoreWeeks
10,0,1,I wonder what was the holiday rituals for true Africans
11,0,1,@LanceMedow Suhs been clean for 2 years and has only been in the league for five don't act like he was dirty for 10 years#not biased my ass
12,0,1,"@StevePulcinella @Coseph05 thank you studs for perfecting and teaching my bench, respectively. Props on form from lifters in AL. #DYEL"
13,0,1,"Pips who drop out of school n have Kirya as 'eir role model tht ey wana sing too..guy spix Portuguese,French,english...#Not a school dropout"
14,0,1,@PFF_Pete There will be no next employer in NFL for Trestman. He was a disgraceful hire and never stood a chance.
15,0,1,"Finally finished the first season of #VeronicaMars. Move over, #CliffHuxtable. Keith Mars is the new sheriff--er, ultimate #TV dad--in town."
16,0,1,Merry Christmas to all those soldiers out there that couldn't make it home! I love you all ❤
17,0,1,Getting Final Jeopardy correct on Kids Jeopardy boosts my self-esteem
18,0,1,@bencasselman @davidmwessel @PaulKrugmanBlog @TheDailyShow @DemocracyNow How many of those jobs earn #middleclass wages? #Economics #Math #Z
19,0,1,@NormanWalshUK Stunning work. #british #textiles #footwear #madeinbritain #not-a-nike-clone
20,0,1,@PotPolitics @foxnewspolitics Sent it but too slow. I had already posted.
21,0,1,"@TheOliverStone After 1989, why did NATO need to expand?"
22,0,1,"The last day of the year and I will be tweeting on my major highpoints of the year ...good, bad and ugly"
23,0,1,"@CrizzArce happy new year, da! Thanks sobra for this year 👍👍"
24,0,1,@CMBaseball41 happy birthday Skip! We will always love you! #Phillies #legend
25,0,1,One of my favorite things to do is to make people wonder...it was completely unintentional but buying Bogs mud boots in a dress will do it
26,0,1,"Watching Sanjay, @JimPeteHoops ... Getting the start vs. Butler and liking what I see! #Minny"
27,0,1,@terry_legg @SR_Duncan @KateOnTheGo It wasn't for one person. It was a business expense.
28,0,1,HAHAHAHA!! Oops.......I'm addicted to @OneMoreJoke Tweets sooo FUNNY! You Got to follow him for #HILARIOUS #SARCASM #tweets #RT.
29,0,1,@BBCiPlayer @EndorProds @mrmichaelball absolutely loved it! Well done all involved!
30,0,1,"@lnritter_ That was the case, not the recording.So comparing the two is apple & oranges."
31,0,1,At least I don't have to clean the floor
32,0,1,One of the most embarrassing losses @GoPittFootball Ever. #WTF
33,0,1,"@GlenjiUTLR @JoshStevo95 To be fair, you didn't use the mandatory #sarcasm hashtag :P"
34,0,1,@pattistanger I'm from the UK and I honestly think your a goddess! I love how you speak your mind but have a gentle side. #love #PattiKnows
35,0,1,Take me tooooo church #not
36,0,1,"@Pier1984_ Not going this time, we might have a chance! Fool me once, shame on you, fool me twice..... #fuckthat"
37,0,1,@dzmilner Minky Wale tail fritter for price of a bijoux flat in Port Talbot.
38,0,1,I JUST WANT TO BE DONE WITH FINALS #4hoursleft
