,actual,predicted,tweet
0,1,1,"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony"
1,1,1,So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm
2,1,1,"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life"
3,1,1,"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself"
4,1,1,I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut
5,1,1,@CorporalFrisk Guess they didn't get the memo reg non-nuclear Baltic sea #sarcasm
6,1,1,Exam na jud. Merry christmas. ||#Sarcasm|#KillUsSlowly
7,1,1,The definition of #IRONY would be if a 77-year-old rapper went #viral and took #BITCOIN mainstream. Maybe only way #babyboomers will buy in.
8,1,1,Pretty excited about how you gave up on me. File Under: #sarcasm
9,1,1,Who told the #hipsters that #irony was a thing of the Clinton years? Do they not carry history books in used bookstores in #brooklyn ?
10,1,1,@LukeLPearson hmm... let me think about that #sarcasm
11,1,1,"If you wanna look like a badass, have drama on social media #not"
12,1,1,How dare Charles Barkley have an intelligent conversation about race. #sarcasm #CharlesBarkley
13,1,1,"Being a hipster now is so mainstream. Oh, the irony. #hipster #irony"
14,1,1,Well got the truck buried today perfect way to start a rainy Wednesday work day off #not #annoyed #pissed
15,1,1,"On the train and surrounded by posh people, I'm so at home! #not #stickoutlikeasorethumb"
16,1,1,Stupid #doctors visits is gonna bury me!! Now that's #irony
17,1,1,"Love the way @virginmedia says fault from last night will be fixed by 4pm, only to see a man in a van pull up at 4pm to fix the fault #irony"
18,1,1,Planning a vacation instead of studying.... My priorities are in line. #NOT
19,1,1,You decide to go on vacation without me sleep? Reaaaal nice. #considerate #not 😒💤
20,1,1,Can't wait to have an afternoon schedule because of you. It's gonna be so much fun #not
